Customer ID,Feedback Channel,Rating,Comment,Date
CUST1000,Email,,Had some issues,2024-08-26 00:21:02.271724
CUST1001,Email,5.0,,2024-04-03 00:21:02.271744
CUST1002,Email,,Good support,2024-01-02 00:21:02.271752
CUST1003,Email,5.0,Needs improvement,2024-01-09 00:21:02.271764
CUST1004,In-Person,1.0,Could be better,2023-11-14 00:21:02.271782
CUST1005,Website,2.0,Not happy with the response,2024-09-14 00:21:02.271791
CUST1006,Email,3.0,Disappointed,2024-06-23 00:21:02.271798
CUST1007,Email,5.0,,2024-04-26 00:21:02.271808
CUST1008,Email,5.0,Not happy with the response,2024-01-15 00:21:02.271818
CUST1009,Phone,1.0,Excellent experience,2024-09-26 00:21:02.271824
CUST1010,Phone,4.0,Loved it,2024-05-03 00:21:02.271829
CUST1011,Phone,2.0,Loved it,2023-12-10 00:21:02.271833
CUST1012,Email,2.0,Had some issues,2024-08-14 00:21:02.271838
CUST1013,Website,5.0,Not happy with the response,2024-10-08 00:21:02.271842
CUST1014,Phone,3.0,Very satisfied,2024-07-20 00:21:02.271846
CUST1015,In-Person,4.0,Loved it,2024-03-16 00:21:02.271850
CUST1016,Phone,2.0,Good support,2024-06-24 00:21:02.271854
CUST1017,Website,4.0,Could be better,2024-02-19 00:21:02.271858
CUST1018,Website,,,2024-09-10 00:21:02.271862
CUST1019,Phone,4.0,Quick resolution,2024-04-24 00:21:02.271866
CUST1020,Website,5.0,Great service,2023-11-23 00:21:02.271870
CUST1021,Email,5.0,Loved it,2024-05-15 00:21:02.271874
CUST1022,Email,2.0,Excellent experience,2024-02-23 00:21:02.271878
CUST1023,Phone,1.0,Excellent experience,2023-12-14 00:21:02.271882
CUST1024,Phone,2.0,Good support,2024-11-05 00:21:02.271886
CUST1025,In-Person,1.0,Excellent experience,2024-07-06 00:21:02.271891
CUST1026,Email,5.0,Very satisfied,2024-03-02 00:21:02.271895
CUST1027,Email,5.0,Could be better,2023-12-04 00:21:02.271898
CUST1028,Website,2.0,Disappointed,2024-04-03 00:21:02.271902
CUST1029,Phone,2.0,Quick resolution,2023-11-28 00:21:02.271906
CUST1030,In-Person,5.0,Had some issues,2024-07-13 00:21:02.271910
CUST1031,Email,5.0,Disappointed,2024-07-16 00:21:02.271914
CUST1032,Email,,Had some issues,2024-10-02 00:21:02.271917
CUST1033,Email,1.0,Excellent experience,2023-11-29 00:21:02.271923
CUST1034,Website,2.0,Disappointed,2024-01-15 00:21:02.271930
CUST1035,Website,4.0,Had some issues,2024-09-18 00:21:02.271936
CUST1036,Email,3.0,Needs improvement,2024-10-09 00:21:02.271943
CUST1037,Email,,Very satisfied,2024-07-01 00:21:02.271950
CUST1038,Phone,4.0,,2024-08-04 00:21:02.271956
CUST1039,In-Person,1.0,Good support,2024-09-16 00:21:02.271960
CUST1040,Email,5.0,Very satisfied,2024-07-07 00:21:02.271964
CUST1041,Phone,4.0,Quick resolution,2024-10-06 00:21:02.271968
CUST1042,Phone,4.0,Needs improvement,2024-06-12 00:21:02.271972
CUST1043,Website,5.0,Needs improvement,2024-08-18 00:21:02.271976
CUST1044,Phone,1.0,Good support,2024-10-05 00:21:02.271980
CUST1045,In-Person,,Good support,2024-02-08 00:21:02.271984
CUST1046,Phone,,Could be better,2024-10-01 00:21:02.271987
CUST1047,Email,2.0,Disappointed,2024-07-02 00:21:02.271991
CUST1048,Email,4.0,Disappointed,2024-02-12 00:21:02.271995
CUST1049,In-Person,2.0,Not happy with the response,2024-07-06 00:21:02.271999
CUST1050,In-Person,3.0,Very satisfied,2024-11-01 00:21:02.272003
CUST1051,Website,5.0,Very satisfied,2024-02-04 00:21:02.272007
CUST1052,Phone,2.0,Very satisfied,2024-07-03 00:21:02.272011
CUST1053,In-Person,4.0,Excellent experience,2023-12-28 00:21:02.272015
CUST1054,Email,5.0,Loved it,2024-09-13 00:21:02.272019
